,foodcourt,restaurant,restaurantmenuitem,date,forecast,r2,actual,error,MAPE,accuracy_prophet
86,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-14,43,0.5136074992440278,75.0,0.4266666666666667,0.20121405026938785,0.7987859497306121
87,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-15,56,0.5136074992440278,60.0,0.06666666666666667,0.20121405026938785,0.7987859497306121
88,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-16,45,0.5136074992440278,46.0,0.021739130434782608,0.20121405026938785,0.7987859497306121
89,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-17,0,0.5136074992440278,0.0,0.0,0.20121405026938785,0.7987859497306121
90,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-18,0,0.5136074992440278,0.0,0.0,0.20121405026938785,0.7987859497306121
91,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-12,23,0.6006757418470277,38.0,0.39473684210526316,0.24616760415813155,0.7538323958418685
92,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-13,25,0.6006757418470277,38.0,0.34210526315789475,0.24616760415813155,0.7538323958418685
93,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-14,26,0.6006757418470277,43.0,0.3953488372093023,0.24616760415813155,0.7538323958418685
94,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-15,35,0.6006757418470277,46.0,0.2391304347826087,0.24616760415813155,0.7538323958418685
95,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-16,35,0.6006757418470277,54.0,0.35185185185185186,0.24616760415813155,0.7538323958418685
96,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-17,0,0.6006757418470277,0.0,0.0,0.24616760415813155,0.7538323958418685
97,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-18,0,0.6006757418470277,0.0,0.0,0.24616760415813155,0.7538323958418685
98,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,2024-02-12,26,0.8137483598192157,31.0,0.16129032258064516,0.1511040818110617,0.8488959181889383
99,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,2024-02-13,31,0.8137483598192157,42.0,0.2619047619047619,0.1511040818110617,0.8488959181889383
