,date,foodcourt,restaurant,restaurantmenuitem,actual,forecast_arima,model,accuracy_arima
101,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,36.0,,auto-arima,1.0
102,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,41.0,,auto-arima,1.0
103,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,0.0,0.0,auto-arima,1.0
104,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,0.0,0.0,auto-arima,1.0
105,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,26.0,,auto-arima,0.4
106,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.0,,auto-arima,0.4
107,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.0,,auto-arima,0.4
108,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,38.0,,auto-arima,0.4
109,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.0,,auto-arima,0.4
110,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.0,0.0,auto-arima,0.4
111,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.0,0.0,auto-arima,0.4
112,2024-02-12,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,5.0,,auto-arima,0.6666666666666667
113,2024-02-13,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,4.0,,auto-arima,0.6666666666666667
114,2024-02-14,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,5.0,,auto-arima,0.6666666666666667
115,2024-02-15,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,0.0,,auto-arima,0.6666666666666667
116,2024-02-16,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,4.0,,auto-arima,0.6666666666666667
