,date,foodcourt,restaurant,restaurantmenuitem,actual,forecast_xgb_norm,r2,mape,model,accuracy_xgb_norm
96,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,0.0,0.0,-0.9949074527470374,0.5614184320479888,xgboost-norm,0.4385815679520112
97,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,0.0,0.0,-0.9949074527470374,0.5614184320479888,xgboost-norm,0.4385815679520112
98,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,31.0,7.0,-0.839553870826651,0.5378569733689437,xgboost-norm,0.46214302663105633
99,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,42.0,12.0,-0.839553870826651,0.5378569733689437,xgboost-norm,0.46214302663105633
100,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,28.0,4.0,-0.839553870826651,0.5378569733689437,xgboost-norm,0.46214302663105633
101,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,36.0,13.0,-0.839553870826651,0.5378569733689437,xgboost-norm,0.46214302663105633
102,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,41.0,9.0,-0.839553870826651,0.5378569733689437,xgboost-norm,0.46214302663105633
103,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,0.0,0.0,-0.839553870826651,0.5378569733689437,xgboost-norm,0.46214302663105633
104,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,0.0,0.0,-0.839553870826651,0.5378569733689437,xgboost-norm,0.46214302663105633
105,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,26.0,0.0,-0.16623231571109431,3216856876693211.5,xgboost-norm,0.5902255639097744
106,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.0,0.0,-0.16623231571109431,3216856876693211.5,xgboost-norm,0.5902255639097744
107,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.0,5.0,-0.16623231571109431,3216856876693211.5,xgboost-norm,0.5902255639097744
108,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,38.0,5.0,-0.16623231571109431,3216856876693211.5,xgboost-norm,0.5902255639097744
109,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.0,0.0,-0.16623231571109431,3216856876693211.5,xgboost-norm,0.5902255639097744
110,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.0,0.0,-0.16623231571109431,3216856876693211.5,xgboost-norm,0.5902255639097744
111,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.0,0.0,-0.16623231571109431,3216856876693211.5,xgboost-norm,0.5902255639097744
112,2024-02-12,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,5.0,3.0,-0.26,3860228252031853.5,xgboost-norm,0.7071428571428572
113,2024-02-13,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,4.0,3.0,-0.26,3860228252031853.5,xgboost-norm,0.7071428571428572
114,2024-02-14,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,5.0,3.0,-0.26,3860228252031853.5,xgboost-norm,0.7071428571428572
115,2024-02-15,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,0.0,6.0,-0.26,3860228252031853.5,xgboost-norm,0.7071428571428572
116,2024-02-16,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,4.0,4.0,-0.26,3860228252031853.5,xgboost-norm,0.7071428571428572
117,2024-02-17,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,0.0,0.0,-0.26,3860228252031853.5,xgboost-norm,0.7071428571428572
118,2024-02-18,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,0.0,0.0,-0.26,3860228252031853.5,xgboost-norm,0.7071428571428572
119,2024-02-12,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c5c,6.0,2.0,0.3187022900763359,0.40929705215419493,xgboost-norm,0.6621315192743764
120,2024-02-13,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c5c,2.0,5.0,0.3187022900763359,0.40929705215419493,xgboost-norm,0.6621315192743764
121,2024-02-14,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c5c,7.0,6.0,0.3187022900763359,0.40929705215419493,xgboost-norm,0.6621315192743764
122,2024-02-15,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c5c,5.0,5.0,0.3187022900763359,0.40929705215419493,xgboost-norm,0.6621315192743764
123,2024-02-16,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c5c,9.0,4.0,0.3187022900763359,0.40929705215419493,xgboost-norm,0.6621315192743764
124,2024-02-17,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c5c,0.0,0.0,0.3187022900763359,0.40929705215419493,xgboost-norm,0.6621315192743764
125,2024-02-18,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c5c,0.0,0.0,0.3187022900763359,0.40929705215419493,xgboost-norm,0.6621315192743764
126,2024-02-12,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c79,2.0,4.0,0.7485029940119761,0.31651205936920224,xgboost-norm,0.6834879406307978
127,2024-02-13,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c79,7.0,6.0,0.7485029940119761,0.31651205936920224,xgboost-norm,0.6834879406307978
