,foodcourt,restaurant,restaurantmenuitem,average_sales,rank,sales_segment,rank_segment
151,61862d3cc680d0688d9d3139,61a6181a15bc1b50911379b8,64f304d09d34a3001730c147,7.666666666666667,676,<10,>500
152,61862d3cc680d0688d9d3139,61a6181a15bc1b50911379b8,64f304d09d34a3001730c14e,106.3157894736842,47,>100,1-100
153,61862d3cc680d0688d9d3139,61a6181a15bc1b50911379b8,64f304d09d34a3001730c155,7.0,703,<10,>500
154,61862d3cc680d0688d9d3139,6281eb08e5062e7fdd61a628,64f2f1ca76868b00110d2acb,5.714285714285714,759,<10,>500
155,61862d3cc680d0688d9d3139,6281eb08e5062e7fdd61a628,64f2f1ca76868b00110d2acc,28.375,269,25-50,200-300
156,61862d3cc680d0688d9d3139,6281eb08e5062e7fdd61a628,64f2f1ca76868b00110d2af3,20.789473684210527,390,10-25,300-400
157,61862d3cc680d0688d9d3139,6281eb08e5062e7fdd61a628,64f2f1ca76868b00110d2bc7,14.2,504,10-25,>500
158,61862d3cc680d0688d9d3139,647edb7b42050e001bbab8ab,6577e4b2a788f1001baf4036,23.0,347,10-25,300-400
159,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad766de2f0017e4bf25,67.66666666666667,108,50-75,100-200
160,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad766de2f0017e4bf28,15.642857142857142,486,10-25,400-500
161,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad766de2f0017e4bf35,15.8,480,10-25,400-500
162,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad766de2f0017e4bf3d,24.0,330,10-25,300-400
163,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad866de2f0017e4bf67,58.8,135,50-75,100-200
164,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad866de2f0017e4bf69,33.666666666666664,226,25-50,200-300
165,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f42ad866de2f0017e4bf6b,15.6,487,10-25,400-500
166,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f57fc070405f001b1892c4,15.722222222222221,484,10-25,400-500
167,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f57fc070405f001b1892c5,11.5,560,10-25,>500
168,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f57fc070405f001b1892c6,4.9411764705882355,805,<10,>500
169,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f57fc070405f001b1892c8,12.157894736842104,550,10-25,>500
170,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,64f57fc070405f001b1892c9,23.666666666666668,335,10-25,300-400
171,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,65b8ddfb4a13070017386fdf,19.333333333333332,415,10-25,400-500
172,618d0666c770501898e3d95f,618d0ec4f67b4d1950cb8c44,65bc8fea4314c6001b422694,27.833333333333332,278,25-50,200-300
173,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f42b6066de2f0017e4c19d,10.529411764705882,596,10-25,>500
174,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f42b6066de2f0017e4c1a5,23.058823529411764,345,10-25,300-400
175,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f42b6066de2f0017e4c1ab,11.0,578,10-25,>500
176,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f42b6166de2f0017e4c1c6,23.5,338,10-25,300-400
177,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f42b6166de2f0017e4c1c9,7.916666666666667,667,<10,>500
178,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f57e2f898268001bed3f3b,5.823529411764706,753,<10,>500
179,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f57e2f898268001bed3f3c,10.823529411764707,584,10-25,>500
180,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f57e2f898268001bed3f3d,4.294117647058823,836,<10,>500
181,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f57e2f898268001bed3f3f,2.8125,924,<10,>500
182,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f57e2f898268001bed3f40,7.9411764705882355,666,<10,>500
183,618d0666c770501898e3d95f,628b5b1079667f4990ea1c6b,64f588f166de2f0017e4c887,18.235294117647058,437,10-25,400-500
184,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606a74a5cf0011c5d8e3,4.055555555555555,859,<10,>500
185,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606a74a5cf0011c5d8e4,11.210526315789474,570,10-25,>500
186,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d8ed,3.8823529411764706,869,<10,>500
187,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d8ee,5.294117647058823,786,<10,>500
188,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d8fa,4.333333333333333,834,<10,>500
189,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d8fb,3.764705882352941,875,<10,>500
190,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d901,19.333333333333332,415,10-25,400-500
191,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d906,4.277777777777778,838,<10,>500
192,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d90c,24.625,326,10-25,300-400
193,618d0666c770501898e3d95f,64cb515c8130e300119eb128,64f4606b74a5cf0011c5d913,11.222222222222221,569,10-25,>500
194,61af314a8f71d5017eb35d1a,62db9d69dae9166c6ebde120,6455038151dc99001b015627,11.166666666666666,572,10-25,>500
195,61af314a8f71d5017eb35d1a,62db9d69dae9166c6ebde120,6455038151dc99001b015634,112.26315789473684,43,>100,1-100
196,61af314a8f71d5017eb35d1a,62db9d69dae9166c6ebde120,6455038151dc99001b015659,10.428571428571429,600,10-25,>500
197,61af314a8f71d5017eb35d1a,62db9d69dae9166c6ebde120,6455038151dc99001b01569a,63.63157894736842,124,50-75,100-200
198,61b9a3365490112b7adfd6ba,622b0cc482b60c3a0583d100,656d6c8f45b382001b14817a,28.0,274,25-50,200-300
199,61b9a3365490112b7adfd6ba,622b0cc482b60c3a0583d100,656d6c8f45b382001b14817b,110.15789473684211,45,>100,1-100
200,61b9a3365490112b7adfd6ba,622b0cc482b60c3a0583d100,656d6c9045b382001b1481b1,87.52631578947368,70,75-100,1-100
201,61b9a3365490112b7adfd6ba,622b0cc482b60c3a0583d100,65b8a638364d88001b2b5128,4.111111111111111,853,<10,>500
202,61b9a3365490112b7adfd6ba,622b0cc482b60c3a0583d100,65b8a6654a13070017386ed8,13.428571428571429,528,10-25,>500
203,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03de,14.11111111111111,506,10-25,>500
204,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03df,9.11111111111111,636,<10,>500
205,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03e0,18.22222222222222,438,10-25,400-500
206,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03e1,5.388888888888889,778,<10,>500
207,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03e2,28.61111111111111,265,25-50,200-300
208,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f03e8,22.0,362,10-25,300-400
209,61b9a3365490112b7adfd6ba,638440378eda195315d84cb7,657010310885b8001b2f0415,6.277777777777778,732,<10,>500
210,61e39f4b2acc405ba5c12202,61e3a3cc77eb426ff13294b8,64f2f39fb0bed60017df2504,39.25,204,25-50,200-300
